Feature,Importance
ram,0.5595911787816813
performance_score,0.09710514754545985
battery_power,0.03706385019390892
px_height,0.03352186171328689
int_memory,0.023961798374469365
pixel_density,0.023650640684822918
memory_weight_ratio,0.02349242431811085
n_cores,0.02341594135783129
clock_speed,0.022575883259338292
screen_area,0.01798418763848014
talk_time,0.015984548534532923
total_camera_mp,0.013871184057749246
fc,0.01367511714153457
mobile_wt,0.012458162149557361
battery_efficiency,0.012095957771482238
sc_h,0.01128364123166038
pc,0.011254535196291167
px_width,0.01106064510967585
sc_w,0.010401511407569057
screen_size,0.008614349681911703
blue,0.00524294353173185
m_dep,0.0039669121652011995
feature_count,0.002715636582982028
wifi,0.0017256307090364944
three_g,0.0017176416779761377
four_g,0.0012810640655451858
dual_sim,0.00028760511817274955
touch_screen,0.0
